Year,Index,Lower,Upper
1970.0,10.315,8.76775,11.862249999999998
1971.0,10.443333333333333,8.876833333333334,12.009833333333333
1972.0,10.665000000000001,9.06525,12.26475
1973.0,11.013333333333334,9.361333333333333,12.665333333333333
1974.0,11.18,9.503,12.857
1975.0,11.358333333333334,9.654583333333333,13.062083333333334
1976.0,11.57,9.8345,13.305499999999999
1977.0,11.913333333333334,10.126333333333333,13.700333333333333
1978.0,12.520000000000001,10.642000000000001,14.398
1979.0,12.968333333333334,11.023083333333334,14.913583333333333
1980.0,13.278333333333334,11.286583333333335,15.270083333333334
1981.0,13.321666666666667,11.323416666666667,15.319916666666666
1982.0,13.241666666666667,11.255416666666667,15.227916666666665
1983.0,13.43,11.4155,15.444499999999998
1984.0,13.698333333333332,11.643583333333332,15.75308333333333
1985.0,13.923333333333332,11.834833333333332,16.011833333333332
1986.0,14.94,12.699,17.180999999999997
1987.0,15.788333333333334,13.420083333333334,18.156583333333334
1988.0,16.601666666666667,14.111416666666667,19.091916666666666
1989.0,16.791666666666668,14.272916666666667,19.310416666666665
1990.0,16.527142857142856,14.048071428571427,19.006214285714282
1991.0,16.884285714285713,14.351642857142856,19.41692857142857
1992.0,17.684285714285714,15.031642857142856,20.33692857142857
1993.0,18.65285714285714,15.85492857142857,21.45078571428571
1994.0,19.451428571428572,16.533714285714286,22.369142857142855
1995.0,20.694285714285716,17.590142857142858,23.79842857142857
1996.0,19.09714285714286,16.23257142857143,21.961714285714287
1997.0,18.797142857142855,15.977571428571427,21.61671428571428
1998.0,18.75857142857143,15.944785714285715,21.572357142857143
1999.0,19.24857142857143,16.361285714285717,22.135857142857144
2000.0,19.53,16.6005,22.4595
2001.0,19.305714285714284,16.409857142857142,22.201571428571427
2002.0,19.457142857142856,16.538571428571426,22.37571428571428
2003.0,20.547142857142855,17.465071428571427,23.629214285714284
2004.0,21.782857142857143,18.515428571428572,25.050285714285714
2005.0,22.458571428571425,19.08978571428571,25.827357142857135
2006.0,23.225714285714282,19.74185714285714,26.709571428571422
2007.0,24.51571428571429,20.838357142857145,28.19307142857143
2008.0,25.83142857142857,21.956714285714284,29.706142857142854
2009.0,25.03857142857143,21.282785714285716,28.79435714285714
2010.0,26.365714285714287,22.410857142857143,30.320571428571427
2011.0,28.28,24.038,32.522
2012.0,28.75,24.4375,33.0625
2013.0,29.09857142857143,24.733785714285712,33.46335714285714
2014.0,29.645714285714284,25.19885714285714,34.092571428571425
2015.0,28.764285714285712,24.449642857142855,33.07892857142857
2016.0,29.224285714285713,24.840642857142857,33.607928571428566
2017.0,30.50142857142857,25.926214285714284,35.07664285714285
2018.0,32.151428571428575,27.328714285714288,36.97414285714286
2019.0,32.504285714285714,27.628642857142857,37.37992857142857
2020.0,32.14857142857143,27.326285714285714,36.97085714285714
2021.0,35.02285714285714,29.76942857142857,40.27628571428571
2022.0,34.96177736261374,29.717510758221675,40.2060439670058
2023.0,36.063882705797674,30.65430029992802,41.47346511166732
2024.0,37.221352560682014,31.63814967657971,42.80455544478431
2025.0,38.43796287966003,32.67226844771102,44.20365731160903
2026.0,39.717753254231816,33.760090266097045,45.67541624236659
2027.0,41.06504576159841,34.90528889735865,47.22480262583817
2028.0,42.484465189350026,36.11179541094752,48.85713496775253
2029.0,43.980960741127774,37.38381662995861,50.57810485229694
2030.0,45.559829333963144,38.725854933868675,52.39380373405761
2031.0,47.22674060642354,40.14272951546001,54.31075169738707
2032.0,48.987763765769806,41.639599200904335,56.33592833063527
2033.0,50.849396412112476,43.2219869502956,58.476805873929344
2034.0,52.81859548808897,44.89580616487562,60.741384811302304
2035.0,54.90281051393676,46.667388936846244,63.13823209102726
2036.0,57.11001928007382,48.54351638806275,65.67652217208489
2037.0,59.44876618247904,50.531451255107186,68.3660811098509
2038.0,61.92820340037355,52.63897289031751,71.21743391042958
2039.0,64.55813513101864,54.87441486136585,74.24185540067144
2040.0,67.3490651129486,57.2467053460063,77.45142487989088
2041.0,70.3122476867469,59.765410533734865,80.85908483975894
2042.0,73.45974266165373,62.44078126240567,84.47870406090179
2043.0,76.80447427696211,65.2838031354178,88.32514541850642
2044.0,80.36029456945055,68.30625038403296,92.41433875486813
2045.0,84.14205148212636,71.5207437598074,96.76335920444531
2046.0,88.1656620754619,74.9408127641426,101.39051138678117
2047.0,92.44819123024168,78.58096254570542,106.31541991477792
2048.0,97.00793626126024,82.4567458220712,111.55912670044927
2049.0,101.86451789359235,86.58484020955349,117.1441955776312
2050.0,107.03897808819066,90.98313137496206,123.09482480141925
2051.0,112.55388524134366,95.67080245514211,129.4369680275452
